indic_ed,unit,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
FP01_1,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP01_1,PC,AT	5.80 	5.91 	5.98 	5.47 	5.33 	5.40 	5.44 	5.48 	5.53 	5.68 	5.74 	5.66 	5.86 	5.80 	5.84 	5.94 	6.04 	: 	: 	: 	: 
FP01_1,PC,BE	6.55 d	6.58 d	6.57 d	6.43 d	6.00 d	5.98 d	5.92 d	5.95 d	6.02 d	6.09 d	5.99 d	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP01_1,PC,BG	3.82 	4.10 	4.58 	4.44 	3.88 	4.04 	4.25 	4.40 	4.09 	3.94 	3.70 	3.88 	4.02 	4.28 	2.65 	2.60 	3.39 	4.2 	5.1 	5.3 	: 
FP01_1,PC,CH	5.28 	5.22 	5.36 	4.95 	4.88 	5.28 	5.52 	5.55 	5.72 	5.57 	5.25 	5.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP01_1,PC,CY	7.87 d	7.92 d	7.98 d	7.45 d	6.95 d	7.02 d	6.95 d	6.77 d	7.37 d	6.60 d	5.98 d	5.42 d	5.36 d	5.61 d	5.51 d	4.89 d	4.63 d	4.8 d	4.6 d	: 	: 
FP01_1,PC,CZ	4.51 	4.25 	4.36 	3.92 	4.05 	4.42 	4.08 	4.20 	4.32 	4.15 	3.93 	3.83 	3.97 	3.95 	4.46 	4.71 	: 	: 	: 	: 	: 
FP01_1,PC,DE	4.98 	5.08 	5.06 	4.57 	4.49 	4.43 	4.57 	4.62 	4.74 	4.72 	4.51 	4.45 	4.51 	: 	4.55 	: 	4.62 	: 	: 	: 	: 
FP01_1,PC,DK	8.75 d	8.81 d	8.74 d	7.68 d	7.81 d	7.97 d	8.30 d	8.43 	8.33 	8.44 d	8.44 d	8.28 d	8.11 d	8.30 d	7.92 d	8.08 d	7.67 d	: 	: 	: 	: 
FP01_1,PC,EE	5.16 	5.66 	6.03 	5.61 	4.72 d	4.70 	4.88 	4.92 	5.29 	5.47 	5.24 	5.57 d	6.74 d	5.71 d	5.92 d	6.05 d	5.88 d	5.5 d	5.9 d	: 	: 
FP01_1,PC,EL	: 	: 	: 	: 	: 	: 	4.09 	3.83 d	3.56 d	3.57 d	3.50 d	3.71 d	3.25 d	3.48 d	3.46 d	3.09 d	2.87 d	3.0 d	2.7 d	: 	: 
FP01_1,PC,ES	4.82 	4.98 	5.02 	4.62 	4.34 	4.26 	4.23 	4.25 	4.28 	4.25 	4.24 	4.28 	4.38 	4.42 	4.48 	4.62 	4.66 	4.7 	4.9 	4.8 	: 
