"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2000",5429.977,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",6891.025,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8195.206,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",9719.611,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",10315.05,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10032.62,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9560.232,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10318.34,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10319.05,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10745.37,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",10513.44,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",11180.3,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",12227.13,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",12481.39,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",13392.96,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",13454.12,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",13935.04,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",14914.05,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",15006.25,
"AUT","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",15253.98,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",7582.833,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",9791.151,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",9901.235,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",10465.98,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10786.34,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",11196.61,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11627.47,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11777.14,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11892.67,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",12472.27,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",12934.21,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",13321.71,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8937.021,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9948.072,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10046.45,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10211.79,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10506.96,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10379.32,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10567.61,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",11193.53,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",11309.09,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",11853.53,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","1995",2607.866,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2000",2600.267,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",4050.523,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",5149.4,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",5733.24,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",5767.514,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",6184.682,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",6482.462,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",6638.715,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",6886.758,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",7120.052,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",7109.024,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",8021.641,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",9206.349,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","1995",5614.441,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2000",7151.811,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",8941.963,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",10536.62,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",11324.88,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",11758.73,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10535.11,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",11476.94,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11807.59,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",12827.29,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",10507.97,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",11086.72,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",11551.09,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","1995",4712.72,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2000",5392.67,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",6637.572,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8132.722,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",8446.502,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8833.596,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9271.527,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9448.139,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9658.92,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9769.05,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10041.78,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",10253.49,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",10131.12,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",10661.02,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",7422.598,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8469.35,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2009",8889.892,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9125.052,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9199.644,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9312.157,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9778.401,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9918.341,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9960.083,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",10377.93,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2017",10814.82,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2018",11201.06,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2005",7071.001,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2008",8091.561,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9217.828,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9631.849,
