"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","EDUEXP","TRY","USD_STUDENT","A","2005",11188.65,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2008",14324.25,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2009",14941.97,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2010",15156.52,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2011",15585.49,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15392.09,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2013",16233.88,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.8,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16247.39,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",16477.16,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2017",16870.73,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2018",17420.21,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2005",5127.879,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2008",5950.333,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2009",6280.666,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2010",6486.797,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2011",6674.846,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2012",6846.129,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2013",7265.216,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2014",7372.851,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2015",7442.359,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2016",7746.259,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2017",8279.659,
"FRA","EDUEXP","PRY","USD_STUDENT","A","2018",8723.982,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2005",5596.332,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2008",6864.316,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2010",7337.034,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2011",6838.262,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2012",7955.525,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2013",7990.567,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2014",8212.794,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2015",8332.16,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2016",8627.368,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2017",9043.935,
"OAVG","EDUEXP","PRY","USD_STUDENT","A","2018",9711.285,
"OAVG","EDUEXP","TRY","USD_STUDENT","A","2005",10100.14,
"OAVG","EDUEXP","TRY","USD_STUDENT","A","2008",12364.53,
