"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2000",3.762698,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.873002,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.846224,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2009",4.238143,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.480767,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.178036,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.00036,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.978315,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.94155,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.915634,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.922293,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.968725,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2018",4.022428,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.123541,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.204516,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.121199,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.123965,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.130986,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.071457,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2018",2.955923,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2005",4.092949,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2008",4.353625,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2009",4.359444,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.315599,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.291925,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.315025,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2013",4.323433,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.258106,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.186126,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2016",4.201916,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2017",4.169347,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2018",4.126719,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2000",3.46174,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.45586,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.601051,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.722975,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.94741,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.750487,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.651462,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.577481,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.518333,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.491326,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.587644,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.587363,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.539194,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","1995",3.200082,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2000",2.563076,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2005",2.745759,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2008",2.510332,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2009",2.738832,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2010",2.676823,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2011",2.698208,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.733249,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2013",2.663103,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2014",2.626226,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.629366,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2016",2.496675,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2017",2.651174,
"CZE","EDUEXP","PRY_NTRY","PC_GDP","A","2018",2.905869,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","1995",3.906289,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2000",4.0072,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2005",4.356053,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2008",4.132153,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2009",4.619483,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.665208,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.252995,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.645088,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2013",4.579671,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.796774,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.538909,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.462863,
"DNK","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.433299,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","1995",3.907701,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2000",3.46814,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.692459,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.59303,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.906529,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.938644,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.886403,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.916546,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.90669,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.916909,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.968942,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.850218,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.61925,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.608804,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.882404,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.786785,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.995124,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.944748,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.810218,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.787301,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.781037,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.780116,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.735744,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.718568,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.741656,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.709806,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.300665,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.10195,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.342715,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.205254,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.151451,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.122095,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.074799,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.018926,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2016",2.983228,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2017",2.984529,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.008381,
