"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","EDUEXP","TRY","PC_GDP","A","2005",1.295749,
"FRA","EDUEXP","TRY","PC_GDP","A","2008",1.391783,
"FRA","EDUEXP","TRY","PC_GDP","A","2009",1.473331,
"FRA","EDUEXP","TRY","PC_GDP","A","2010",1.470499,
"FRA","EDUEXP","TRY","PC_GDP","A","2011",1.453423,
"FRA","EDUEXP","TRY","PC_GDP","A","2012",1.441672,
"FRA","EDUEXP","TRY","PC_GDP","A","2013",1.468645,
"FRA","EDUEXP","TRY","PC_GDP","A","2014",1.475612,
"FRA","EDUEXP","TRY","PC_GDP","A","2015",1.46136,
"FRA","EDUEXP","TRY","PC_GDP","A","2016",1.445158,
"FRA","EDUEXP","TRY","PC_GDP","A","2017",1.453482,
"FRA","EDUEXP","TRY","PC_GDP","A","2018",1.469679,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.882404,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.786785,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.995124,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.944748,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.810218,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.787301,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.781037,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.780116,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.735744,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.718568,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.741656,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.709806,
"OAVG","EDUEXP","TRY","PC_GDP","A","2005",1.401106,
"OAVG","EDUEXP","TRY","PC_GDP","A","2008",1.427877,
"OAVG","EDUEXP","TRY","PC_GDP","A","2009",1.539242,
"OAVG","EDUEXP","TRY","PC_GDP","A","2010",1.554123,
"OAVG","EDUEXP","TRY","PC_GDP","A","2011",1.576971,
"OAVG","EDUEXP","TRY","PC_GDP","A","2012",1.518093,
"OAVG","EDUEXP","TRY","PC_GDP","A","2013",1.562424,
"OAVG","EDUEXP","TRY","PC_GDP","A","2014",1.512207,
"OAVG","EDUEXP","TRY","PC_GDP","A","2015",1.502629,
"OAVG","EDUEXP","TRY","PC_GDP","A","2016",1.504238,
"OAVG","EDUEXP","TRY","PC_GDP","A","2017",1.44247,
"OAVG","EDUEXP","TRY","PC_GDP","A","2018",1.434233,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.627329,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.622371,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.89855,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.767051,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.619909,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.634785,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.671877,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.577185,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.466433,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.392786,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.369,
"OAVG","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.449993,
"FRA","EDUEXP","PRY","PC_GDP","A","2005",1.08053,
"FRA","EDUEXP","PRY","PC_GDP","A","2008",1.107274,
"FRA","EDUEXP","PRY","PC_GDP","A","2009",1.178248,
"FRA","EDUEXP","PRY","PC_GDP","A","2010",1.172517,
"FRA","EDUEXP","PRY","PC_GDP","A","2011",1.154667,
"FRA","EDUEXP","PRY","PC_GDP","A","2012",1.17,
"FRA","EDUEXP","PRY","PC_GDP","A","2013",1.180948,
"FRA","EDUEXP","PRY","PC_GDP","A","2014",1.181464,
